"","County","Population","DVM","PharmD","SWs","PTs","PAs","PCPs","Psych","FM","GPs","Gers","IM","OB.GYN","Peds","sqmi"
"1","Anderson",60367,6,32,23,21,12,39,3,11,5,0,13,6,4,1062.5974891389
"2","Andrews",16133,4,7,1,3,3,9,0,8,0,0,1,0,0,1500.6818896641
"3","Angelina",90596,15,71,100,51,19,75,4,27,2,0,33,5,8,797.7753084015
"4","Aransas",24738,10,13,14,8,5,10,1,6,1,0,2,0,1,252.0829108512
"5","Archer",9502,3,1,9,0,1,0,0,0,0,0,0,0,0,903.1093192836
"6","Armstrong",1969,1,0,1,0,0,0,0,0,0,0,0,0,0,909.1040295051
"7","Atascosa",50278,6,37,15,19,8,21,3,15,0,0,2,2,2,1219.5327128985
"8","Austin",32238,13,15,4,8,1,9,0,4,1,0,3,0,1,646.4860894206
"9","Bailey",7799,7,6,1,2,2,2,0,2,0,0,0,0,0,826.8588001674
"10","Bandera",22792,14,13,2,7,3,4,0,2,0,0,1,1,0,790.9835348844
"11","Bastrop",86175,48,39,42,18,7,23,1,16,0,0,3,1,3,888.1627249638
"12","Baylor",3721,1,3,2,4,1,5,0,3,0,0,1,0,1,867.4761576195
"13","Bee",32698,12,13,6,9,7,14,0,8,1,0,2,1,2,880.2344274867
"14","Bell",352210,78,333,409,162,151,294,34,79,2,2,107,33,71,1051.0220926062
"15","Bexar",1882834,460,1892,1781,1014,693,1529,195,507,44,8,454,190,326,1239.8736574224
"16","Blanco",11742,8,9,5,2,1,4,0,4,0,0,0,0,0,709.2456181668
"17","Borden",673,0,0,0,0,0,0,0,0,0,0,0,0,0,897.4374967701
"18","Bosque",19338,7,13,9,1,0,8,0,5,1,1,1,0,0,982.973646369
"19","Bowie",93848,26,129,45,74,31,87,5,32,2,0,23,17,13,885.000616929
"20","Brazoria",358855,71,266,143,149,58,178,11,65,6,1,46,17,43,1357.7238793404
"21","Brazos",214672,268,159,92,103,56,214,8,101,2,0,56,28,27,585.5294059758
"22","Brewster",9752,7,12,5,11,2,7,1,4,1,0,0,1,1,6183.7450316928
"23","Briscoe",1676,0,0,0,0,0,0,0,0,0,0,0,0,0,899.9956891926
"24","Brooks",7502,2,5,1,1,0,1,0,1,0,0,0,0,0,943.3480134078
"25","Brown",39488,13,37,45,24,14,27,1,8,4,0,10,2,3,944.4322424394
"26","Burleson",18482,14,6,0,6,4,4,0,4,0,0,0,0,0,659.028275334
"27","Burnet",47386,22,40,21,25,9,35,2,14,3,0,8,4,6,994.2523864416
"28","Caldwell",43322,8,21,26,17,10,14,0,8,0,0,4,0,2,545.2304810238
"29","Calhoun",23298,4,12,7,5,2,15,0,8,0,0,4,2,1,506.8362333177
"30","Callahan",14129,4,2,11,0,0,4,0,3,1,0,0,0,0,899.3671241841
"31","Cameron",449166,32,253,190,111,100,255,20,68,7,0,78,35,67,891.0552313377
"32","Camp",13421,7,5,5,2,0,0,0,0,0,0,0,0,0,195.8254408539
"33","Carson",6354,3,1,0,1,0,1,0,0,1,0,0,0,0,920.2151855754
"34","Cass",31323,5,19,9,3,3,9,0,9,0,0,0,0,0,936.9579684465
"35","Castro",8500,3,2,0,3,1,4,0,4,0,0,0,0,0,894.428993601
"36","Chambers",40945,10,12,5,3,12,9,1,6,1,0,1,0,1,597.1441376043
"37","Cherokee",54099,8,25,59,9,5,29,16,12,3,0,8,3,3,1052.9681659497
"38","Childress",7262,3,8,2,4,1,8,0,6,2,0,0,0,0,696.400940664
"39","Clay",11224,2,2,2,4,1,4,0,4,0,0,0,0,0,1088.7173502777
"40","Cochran",3302,0,0,2,0,1,0,0,0,0,0,0,0,0,775.1400067125
"41","Coke",3213,1,0,2,1,0,0,0,0,0,0,0,0,0,911.4683618898
"42","Coleman",9061,7,7,2,3,0,3,0,3,0,0,0,0,0,1261.9386562068
"43","Collin",949673,304,1017,540,739,297,859,62,249,13,2,258,136,201,841.2631718634
"44","Collingsworth",3147,0,2,1,2,2,2,0,2,0,0,0,0,0,918.4356159264
"45","Colorado",21785,4,13,5,6,0,18,0,12,1,0,2,2,1,960.2894254239
"46","Comal",128347,71,100,118,121,40,90,9,51,2,0,15,9,13,559.4761416816
"47","Comanche",14425,9,10,11,11,1,10,0,9,0,0,1,0,0,937.7483417874
"48","Concho",4207,0,2,0,0,1,2,0,0,2,0,0,0,0,983.8367953128
"49","Cooke",40075,17,29,16,16,2,24,0,11,2,0,6,3,2,874.7544067119
"50","Coryell",81321,22,28,70,8,41,24,1,16,1,0,4,1,2,1052.1751555458
